jj=429, kk=107, dout(108)=-3.437293+j-0.001686
jj=430, kk=363, dout(364)=-2.072522+j0.000962
jj=431, kk=235, dout(236)=4.632689+j-0.000215
jj=432, kk=491, dout(492)=-6.713107+j0.009927
jj=433, kk=27, dout(28)=-15.981452+j-0.007100
jj=434, kk=283, dout(284)=-19.197580+j0.000154
jj=435, kk=155, dout(156)=1.436809+j-0.000861
jj=436, kk=411, dout(412)=0.109782+j0.001779
jj=437, kk=91, dout(92)=-7.175620+j-0.001866
jj=438, kk=347, dout(348)=-2.024892+j0.000702
jj=439, kk=219, dout(220)=-0.549774+j-0.000196
jj=440, kk=475, dout(476)=-6.692978+j0.005488
jj=441, kk=59, dout(60)=-2.542050+j-0.003146
jj=442, kk=315, dout(316)=11.012614+j0.000569
jj=443, kk=187, dout(188)=-8.457543+j-0.000572
jj=444, kk=443, dout(444)=-1.487234+j0.002766
jj=445, kk=123, dout(124)=9.295622+j-0.001231
jj=446, kk=379, dout(380)=-14.332125+j0.001146
jj=447, kk=251, dout(252)=17.723189+j-0.000051
jj=448, kk=507, dout(508)=9.773944+j0.050003
jj=449, kk=7, dout(8)=2.892094+j-0.000055
jj=450, kk=263, dout(264)=-2.025503+j-0.000064
jj=451, kk=135, dout(136)=-2.651942+j-0.000025
jj=452, kk=391, dout(392)=20.816855+j0.000092
jj=453, kk=71, dout(72)=12.568888+j0.000004
jj=454, kk=327, dout(328)=11.011782+j-0.000072
jj=455, kk=199, dout(200)=1.498628+j0.000042
jj=456, kk=455, dout(456)=12.380453+j-0.000052
jj=457, kk=39, dout(40)=-3.653675+j0.000028
jj=458, kk=295, dout(296)=-11.448949+j-0.000004
jj=459, kk=167, dout(168)=1.860529+j0.000032
jj=460, kk=423, dout(424)=-6.763940+j-0.000037
jj=461, kk=103, dout(104)=-4.836032+j-0.000039
jj=462, kk=359, dout(360)=20.309950+j-0.000003
jj=463, kk=231, dout(232)=4.617989+j0.000013
jj=464, kk=487, dout(488)=0.092082+j-0.000004
jj=465, kk=23, dout(24)=-0.938602+j-0.000076
jj=466, kk=279, dout(280)=-4.299149+j-0.000051
jj=467, kk=151, dout(152)=-5.191526+j0.000018
jj=468, kk=407, dout(408)=-4.449378+j-0.000043
jj=469, kk=87, dout(88)=-11.305553+j0.000008
jj=470, kk=343, dout(344)=-3.347573+j0.000025
jj=471, kk=215, dout(216)=-8.617218+j-0.000023
jj=472, kk=471, dout(472)=-3.841559+j-0.000016
jj=473, kk=55, dout(56)=3.439731+j0.000018
jj=474, kk=311, dout(312)=-23.175457+j0.000004
jj=475, kk=183, dout(184)=7.095816+j-0.000002
jj=476, kk=439, dout(440)=2.771976+j-0.000015
jj=477, kk=119, dout(120)=-6.816192+j0.000082
jj=478, kk=375, dout(376)=13.141075+j-0.000042
jj=479, kk=247, dout(248)=-18.510191+j0.000000
jj=480, kk=503, dout(504)=-8.432051+j0.000008
jj=481, kk=15, dout(16)=12.265395+j-0.000068
jj=482, kk=271, dout(272)=7.541483+j0.000040
jj=483, kk=143, dout(144)=4.873647+j0.000134
jj=484, kk=399, dout(400)=9.653261+j-0.000003
jj=485, kk=79, dout(80)=-10.000317+j-0.000027
jj=486, kk=335, dout(336)=-5.220590+j-0.000119
jj=487, kk=207, dout(208)=-1.664430+j0.000099
jj=488, kk=463, dout(464)=-4.989655+j-0.000004
jj=489, kk=47, dout(48)=-12.348450+j-0.000080
jj=490, kk=303, dout(304)=17.556247+j-0.000001
jj=491, kk=175, dout(176)=-1.326431+j-0.000060
jj=492, kk=431, dout(432)=-17.441333+j0.000004
jj=493, kk=111, dout(112)=-19.881192+j-0.000000
jj=494, kk=367, dout(368)=-22.154815+j0.000050
jj=495, kk=239, dout(240)=-13.089740+j0.000059
jj=496, kk=495, dout(496)=-3.668778+j0.000091
jj=497, kk=31, dout(32)=5.354201+j-0.049355
jj=498, kk=287, dout(288)=-12.806292+j0.002012
jj=499, kk=159, dout(160)=5.740184+j-0.006535
