twf_m0(158)=97+j-84, pre_bfly02(158)=3871+j3098, index1_re(158)=8, index1_im(158)=8, bfly02(158)=241+j193
twf_m0(159)=95+j-86, pre_bfly02(159)=4551+j-3947, index1_re(159)=8, index1_im(159)=8, bfly02(159)=284+j-247
twf_m0(160)=93+j-88, pre_bfly02(160)=8302+j7656, index1_re(160)=8, index1_im(160)=8, bfly02(160)=518+j478
twf_m0(161)=91+j-91, pre_bfly02(161)=6916+j-7826, index1_re(161)=8, index1_im(161)=8, bfly02(161)=432+j-490
twf_m0(162)=88+j-93, pre_bfly02(162)=-2510+j-8897, index1_re(162)=8, index1_im(162)=8, bfly02(162)=-157+j-557
twf_m0(163)=86+j-95, pre_bfly02(163)=-4326+j578, index1_re(163)=8, index1_im(163)=8, bfly02(163)=-271+j36
twf_m0(164)=84+j-97, pre_bfly02(164)=-7070+j5420, index1_re(164)=8, index1_im(164)=8, bfly02(164)=-442+j338
twf_m0(165)=81+j-99, pre_bfly02(165)=1548+j936, index1_re(165)=8, index1_im(165)=8, bfly02(165)=96+j58
twf_m0(166)=79+j-101, pre_bfly02(166)=583+j-3451, index1_re(166)=8, index1_im(166)=8, bfly02(166)=36+j-216
twf_m0(167)=76+j-103, pre_bfly02(167)=9373+j6916, index1_re(167)=8, index1_im(167)=8, bfly02(167)=585+j432
twf_m0(168)=74+j-105, pre_bfly02(168)=-483+j6260, index1_re(168)=8, index1_im(168)=8, bfly02(168)=-31+j391
twf_m0(169)=71+j-106, pre_bfly02(169)=-2139+j-8957, index1_re(169)=8, index1_im(169)=8, bfly02(169)=-134+j-560
twf_m0(170)=68+j-108, pre_bfly02(170)=-7316+j3236, index1_re(170)=8, index1_im(170)=8, bfly02(170)=-458+j202
twf_m0(171)=66+j-110, pre_bfly02(171)=-5016+j-2860, index1_re(171)=8, index1_im(171)=8, bfly02(171)=-314+j-179
twf_m0(172)=63+j-111, pre_bfly02(172)=1389+j4017, index1_re(172)=8, index1_im(172)=8, bfly02(172)=86+j251
twf_m0(173)=60+j-113, pre_bfly02(173)=-10734+j-1064, index1_re(173)=8, index1_im(173)=8, bfly02(173)=-671+j-67
twf_m0(174)=58+j-114, pre_bfly02(174)=114+j58, index1_re(174)=8, index1_im(174)=8, bfly02(174)=7+j3
twf_m0(175)=55+j-116, pre_bfly02(175)=-1255+j-7841, index1_re(175)=8, index1_im(175)=8, bfly02(175)=-79+j-491
twf_m0(176)=52+j-117, pre_bfly02(176)=2444+j-4238, index1_re(176)=8, index1_im(176)=8, bfly02(176)=152+j-265
twf_m0(177)=49+j-118, pre_bfly02(177)=-1886+j877, index1_re(177)=8, index1_im(177)=8, bfly02(177)=-118+j54
twf_m0(178)=46+j-119, pre_bfly02(178)=6065+j-6136, index1_re(178)=8, index1_im(178)=8, bfly02(178)=379+j-384
twf_m0(179)=43+j-121, pre_bfly02(179)=974+j4162, index1_re(179)=8, index1_im(179)=8, bfly02(179)=60+j260
twf_m0(180)=40+j-122, pre_bfly02(180)=612+j606, index1_re(180)=8, index1_im(180)=8, bfly02(180)=38+j37
twf_m0(181)=37+j-122, pre_bfly02(181)=-1546+j2462, index1_re(181)=8, index1_im(181)=8, bfly02(181)=-97+j153
twf_m0(182)=34+j-123, pre_bfly02(182)=2358+j1049, index1_re(182)=8, index1_im(182)=8, bfly02(182)=147+j65
twf_m0(183)=31+j-124, pre_bfly02(183)=-1984+j1612, index1_re(183)=8, index1_im(183)=8, bfly02(183)=-124+j100
twf_m0(184)=28+j-125, pre_bfly02(184)=89+j4877, index1_re(184)=8, index1_im(184)=8, bfly02(184)=5+j304
