jj=271, kk=225, dout(226)=-1+j0, indexsum=22
jj=272, kk=481, dout(482)=1+j-1, indexsum=18
jj=273, kk=17, dout(18)=-1+j0, indexsum=22
jj=274, kk=273, dout(274)=-5+j0, indexsum=18
jj=275, kk=145, dout(146)=-1+j0, indexsum=22
jj=276, kk=401, dout(402)=-1+j0, indexsum=19
jj=277, kk=81, dout(82)=-1+j0, indexsum=22
jj=278, kk=337, dout(338)=1+j-1, indexsum=20
jj=279, kk=209, dout(210)=-1+j0, indexsum=22
jj=280, kk=465, dout(466)=-3+j0, indexsum=19
jj=281, kk=49, dout(50)=-1+j0, indexsum=22
jj=282, kk=305, dout(306)=2+j2, indexsum=19
jj=283, kk=177, dout(178)=-1+j0, indexsum=22
jj=284, kk=433, dout(434)=-5+j-1, indexsum=19
jj=285, kk=113, dout(114)=-1+j0, indexsum=22
jj=286, kk=369, dout(370)=2+j0, indexsum=20
jj=287, kk=241, dout(242)=-1+j0, indexsum=22
jj=288, kk=497, dout(498)=-4+j-1, indexsum=19
jj=289, kk=9, dout(10)=-1+j0, indexsum=22
jj=290, kk=265, dout(266)=0+j1, indexsum=19
jj=291, kk=137, dout(138)=-1+j0, indexsum=22
jj=292, kk=393, dout(394)=2+j-1, indexsum=20
jj=293, kk=73, dout(74)=-1+j0, indexsum=22
jj=294, kk=329, dout(330)=-1+j-1, indexsum=19
jj=295, kk=201, dout(202)=-1+j0, indexsum=22
jj=296, kk=457, dout(458)=-3+j1, indexsum=19
jj=297, kk=41, dout(42)=-1+j0, indexsum=22
jj=298, kk=297, dout(298)=1+j0, indexsum=19
jj=299, kk=169, dout(170)=-1+j0, indexsum=22
jj=300, kk=425, dout(426)=-1+j0, indexsum=20
jj=301, kk=105, dout(106)=-1+j0, indexsum=22
jj=302, kk=361, dout(362)=4+j0, indexsum=19
jj=303, kk=233, dout(234)=-1+j0, indexsum=22
jj=304, kk=489, dout(490)=4+j0, indexsum=18
jj=305, kk=25, dout(26)=-1+j0, indexsum=22
jj=306, kk=281, dout(282)=-2+j-2, indexsum=18
jj=307, kk=153, dout(154)=-1+j0, indexsum=22
jj=308, kk=409, dout(410)=1+j-1, indexsum=19
jj=309, kk=89, dout(90)=-1+j0, indexsum=22
jj=310, kk=345, dout(346)=-2+j0, indexsum=19
jj=311, kk=217, dout(218)=-1+j0, indexsum=22
jj=312, kk=473, dout(474)=-5+j0, indexsum=19
jj=313, kk=57, dout(58)=-1+j0, indexsum=22
jj=314, kk=313, dout(314)=1+j1, indexsum=18
jj=315, kk=185, dout(186)=-1+j0, indexsum=22
jj=316, kk=441, dout(442)=3+j-1, indexsum=19
jj=317, kk=121, dout(122)=-1+j0, indexsum=22
jj=318, kk=377, dout(378)=-3+j-1, indexsum=20
jj=319, kk=249, dout(250)=-1+j0, indexsum=22
jj=320, kk=505, dout(506)=-8+j0, indexsum=10
jj=321, kk=5, dout(6)=-1+j0, indexsum=22
jj=322, kk=261, dout(262)=0+j-2, indexsum=10
jj=323, kk=133, dout(134)=-1+j0, indexsum=22
jj=324, kk=389, dout(390)=0+j-1, indexsum=20
jj=325, kk=69, dout(70)=-1+j0, indexsum=22
jj=326, kk=325, dout(326)=-3+j0, indexsum=19
jj=327, kk=197, dout(198)=-1+j0, indexsum=22
jj=328, kk=453, dout(454)=1+j-2, indexsum=19
jj=329, kk=37, dout(38)=-1+j0, indexsum=22
jj=330, kk=293, dout(294)=2+j-2, indexsum=19
jj=331, kk=165, dout(166)=-1+j0, indexsum=22
jj=332, kk=421, dout(422)=-3+j-1, indexsum=19
jj=333, kk=101, dout(102)=-1+j0, indexsum=22
jj=334, kk=357, dout(358)=-2+j0, indexsum=19
jj=335, kk=229, dout(230)=-1+j0, indexsum=22
jj=336, kk=485, dout(486)=-2+j2, indexsum=18
jj=337, kk=21, dout(22)=-1+j0, indexsum=22
jj=338, kk=277, dout(278)=1+j0, indexsum=18
jj=339, kk=149, dout(150)=-1+j0, indexsum=22
jj=340, kk=405, dout(406)=-2+j-1, indexsum=19
jj=341, kk=85, dout(86)=-1+j0, indexsum=22
jj=342, kk=341, dout(342)=1+j0, indexsum=20
jj=343, kk=213, dout(214)=-1+j0, indexsum=22
jj=344, kk=469, dout(470)=-1+j0, indexsum=19
jj=345, kk=53, dout(54)=-1+j0, indexsum=22
jj=346, kk=309, dout(310)=-1+j2, indexsum=19
jj=347, kk=181, dout(182)=-1+j0, indexsum=22
jj=348, kk=437, dout(438)=-1+j-1, indexsum=19
jj=349, kk=117, dout(118)=-1+j0, indexsum=22
jj=350, kk=373, dout(374)=-1+j-1, indexsum=20
jj=351, kk=245, dout(246)=-1+j0, indexsum=22
jj=352, kk=501, dout(502)=-1+j0, indexsum=19
jj=353, kk=13, dout(14)=-1+j0, indexsum=22
jj=354, kk=269, dout(270)=0+j-2, indexsum=19
jj=355, kk=141, dout(142)=-1+j0, indexsum=22
jj=356, kk=397, dout(398)=0+j-1, indexsum=20
jj=357, kk=77, dout(78)=-1+j0, indexsum=22
jj=358, kk=333, dout(334)=0+j-1, indexsum=19
jj=359, kk=205, dout(206)=-1+j0, indexsum=22
jj=360, kk=461, dout(462)=6+j2, indexsum=19
jj=361, kk=45, dout(46)=-1+j0, indexsum=22
jj=362, kk=301, dout(302)=0+j-2, indexsum=19
jj=363, kk=173, dout(174)=-1+j0, indexsum=22
jj=364, kk=429, dout(430)=-1+j0, indexsum=20
jj=365, kk=109, dout(110)=-1+j0, indexsum=22
jj=366, kk=365, dout(366)=0+j-1, indexsum=19
jj=367, kk=237, dout(238)=-1+j0, indexsum=22
jj=368, kk=493, dout(494)=-8+j0, indexsum=18
jj=369, kk=29, dout(30)=-1+j0, indexsum=22
jj=370, kk=285, dout(286)=1+j1, indexsum=18
jj=371, kk=157, dout(158)=-1+j0, indexsum=22
jj=372, kk=413, dout(414)=2+j0, indexsum=19
jj=373, kk=93, dout(94)=-1+j0, indexsum=22
jj=374, kk=349, dout(350)=-4+j-1, indexsum=19
jj=375, kk=221, dout(222)=-1+j0, indexsum=22
jj=376, kk=477, dout(478)=3+j2, indexsum=19
jj=377, kk=61, dout(62)=-1+j0, indexsum=22
jj=378, kk=317, dout(318)=1+j-1, indexsum=18
jj=379, kk=189, dout(190)=-1+j0, indexsum=22
jj=380, kk=445, dout(446)=-4+j0, indexsum=19
jj=381, kk=125, dout(126)=-1+j0, indexsum=22
jj=382, kk=381, dout(382)=-1+j0, indexsum=20
