jj=210, kk=278, dout(279)=-5+j-46, indexsum=14
jj=211, kk=150, dout(151)=31+j22, indexsum=14
jj=212, kk=406, dout(407)=-46+j24, indexsum=13
jj=213, kk=86, dout(87)=80+j-28, indexsum=13
jj=214, kk=342, dout(343)=-61+j24, indexsum=14
jj=215, kk=214, dout(215)=104+j-95, indexsum=14
jj=216, kk=470, dout(471)=-68+j25, indexsum=14
jj=217, kk=54, dout(55)=65+j33, indexsum=14
jj=218, kk=310, dout(311)=-8+j46, indexsum=14
jj=219, kk=182, dout(183)=115+j39, indexsum=14
jj=220, kk=438, dout(439)=-81+j56, indexsum=14
jj=221, kk=118, dout(119)=-80+j-41, indexsum=14
jj=222, kk=374, dout(375)=4+j-95, indexsum=14
jj=223, kk=246, dout(247)=-91+j56, indexsum=13
jj=224, kk=502, dout(503)=6+j-82, indexsum=14
jj=225, kk=14, dout(15)=-61+j67, indexsum=13
jj=226, kk=270, dout(271)=22+j51, indexsum=14
jj=227, kk=142, dout(143)=120+j-28, indexsum=14
jj=228, kk=398, dout(399)=42+j79, indexsum=13
jj=229, kk=78, dout(79)=38+j-160, indexsum=14
jj=230, kk=334, dout(335)=196+j-3, indexsum=14
jj=231, kk=206, dout(207)=74+j31, indexsum=14
jj=232, kk=462, dout(463)=-144+j-16, indexsum=13
jj=233, kk=46, dout(47)=-21+j-106, indexsum=14
jj=234, kk=302, dout(303)=-72+j-24, indexsum=14
jj=235, kk=174, dout(175)=16+j14, indexsum=14
jj=236, kk=430, dout(431)=-14+j59, indexsum=13
jj=237, kk=110, dout(111)=-111+j82, indexsum=14
jj=238, kk=366, dout(367)=-19+j-49, indexsum=13
jj=239, kk=238, dout(239)=-66+j40, indexsum=14
jj=240, kk=494, dout(495)=105+j139, indexsum=14
jj=241, kk=30, dout(31)=-77+j116, indexsum=14
jj=242, kk=286, dout(287)=-28+j-31, indexsum=14
jj=243, kk=158, dout(159)=-38+j134, indexsum=14
jj=244, kk=414, dout(415)=-103+j-25, indexsum=14
jj=245, kk=94, dout(95)=110+j-65, indexsum=14
jj=246, kk=350, dout(351)=-37+j175, indexsum=13
jj=247, kk=222, dout(223)=-65+j31, indexsum=14
jj=248, kk=478, dout(479)=-33+j48, indexsum=14
jj=249, kk=62, dout(63)=-35+j-80, indexsum=14
jj=250, kk=318, dout(319)=171+j5, indexsum=14
jj=251, kk=190, dout(191)=85+j-19, indexsum=14
jj=252, kk=446, dout(447)=-31+j-87, indexsum=14
