sig_pow(ii = 269)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 270)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 271)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 272)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 273)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 274)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 275)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 276)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 277)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 278)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 279)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 280)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 281)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 282)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 283)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 284)=0.000000, noise_pow(ii)=0.140625, fft_out_fixed=0.000000
sig_pow(ii = 285)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 286)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.000000
sig_pow(ii = 287)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 288)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.000000
sig_pow(ii = 289)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 290)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 291)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 292)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 293)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 294)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 295)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 296)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.000000
sig_pow(ii = 297)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
