sig_pow(ii)=0.398676, noise_pow(ii)=0.089239
sig_pow(ii)=7.465608, noise_pow(ii)=0.002357
sig_pow(ii)=5.417626, noise_pow(ii)=0.057570
sig_pow(ii)=30.803121, noise_pow(ii)=0.019604
sig_pow(ii)=160.531945, noise_pow(ii)=0.050643
sig_pow(ii)=8.183007, noise_pow(ii)=0.001308
sig_pow(ii)=50.396395, noise_pow(ii)=0.000521
sig_pow(ii)=9.200029, noise_pow(ii)=0.000236
sig_pow(ii)=61.842910, noise_pow(ii)=0.019542
sig_pow(ii)=108.768158, noise_pow(ii)=0.068096
sig_pow(ii)=32.227110, noise_pow(ii)=0.007491
sig_pow(ii)=73.631907, noise_pow(ii)=0.071299
sig_pow(ii)=108.939339, noise_pow(ii)=0.003864
sig_pow(ii)=60.327757, noise_pow(ii)=0.023461
sig_pow(ii)=190.511550, noise_pow(ii)=0.007018
sig_pow(ii)=139.723483, noise_pow(ii)=0.022658
sig_pow(ii)=50.788874, noise_pow(ii)=0.023002
sig_pow(ii)=23.583063, noise_pow(ii)=0.025951
sig_pow(ii)=151.283547, noise_pow(ii)=0.061375
sig_pow(ii)=11.075811, noise_pow(ii)=0.047498
sig_pow(ii)=0.842273, noise_pow(ii)=0.022934
sig_pow(ii)=199.772234, noise_pow(ii)=0.001143
sig_pow(ii)=27.117262, noise_pow(ii)=0.027900
sig_pow(ii)=36.553501, noise_pow(ii)=0.016671
sig_pow(ii)=155.316728, noise_pow(ii)=0.016654
sig_pow(ii)=45.327858, noise_pow(ii)=0.052305
sig_pow(ii)=41.653629, noise_pow(ii)=0.052900
sig_pow(ii)=24.858952, noise_pow(ii)=0.047424
sig_pow(ii)=79.134361, noise_pow(ii)=0.037631
sig_pow(ii)=153.979385, noise_pow(ii)=0.007868
sig_pow(ii)=111.404650, noise_pow(ii)=0.006752
sig_pow(ii)=117.728715, noise_pow(ii)=0.002252
sig_pow(ii)=172.482733, noise_pow(ii)=0.015671
sig_pow(ii)=277.768028, noise_pow(ii)=0.017975
sig_pow(ii)=282.870430, noise_pow(ii)=0.012211
sig_pow(ii)=153.482054, noise_pow(ii)=0.007011
sig_pow(ii)=33.158011, noise_pow(ii)=0.021732
sig_pow(ii)=15.114783, noise_pow(ii)=0.118189
sig_pow(ii)=27.626943, noise_pow(ii)=0.045830
sig_pow(ii)=78.887175, noise_pow(ii)=0.027028
sig_pow(ii)=107.184981, noise_pow(ii)=0.000470
sig_pow(ii)=10.170819, noise_pow(ii)=0.012695
sig_pow(ii)=77.249294, noise_pow(ii)=0.012628
sig_pow(ii)=94.674857, noise_pow(ii)=0.057039
sig_pow(ii)=105.333029, noise_pow(ii)=0.001598
sig_pow(ii)=19.125817, noise_pow(ii)=0.038392
sig_pow(ii)=41.857735, noise_pow(ii)=0.019029
sig_pow(ii)=23.205898, noise_pow(ii)=0.035812
sig_pow(ii)=36.269219, noise_pow(ii)=0.005439
sig_pow(ii)=92.988612, noise_pow(ii)=0.013573
sig_pow(ii)=248.005733, noise_pow(ii)=0.022159
sig_pow(ii)=73.567739, noise_pow(ii)=0.132204
sig_pow(ii)=22.591891, noise_pow(ii)=0.010188
sig_pow(ii)=230.048741, noise_pow(ii)=0.047388
sig_pow(ii)=267.544286, noise_pow(ii)=0.050959
sig_pow(ii)=47.810356, noise_pow(ii)=0.002521
sig_pow(ii)=94.070573, noise_pow(ii)=0.015838
sig_pow(ii)=27.241564, noise_pow(ii)=0.002970
sig_pow(ii)=370.360502, noise_pow(ii)=0.001148
sig_pow(ii)=9.487318, noise_pow(ii)=0.000260
sig_pow(ii)=36.187055, noise_pow(ii)=0.006579
sig_pow(ii)=305.752897, noise_pow(ii)=0.000873
sig_pow(ii)=25.402577, noise_pow(ii)=0.007239
sig_pow(ii)=33.074523, noise_pow(ii)=0.000207
sig_pow(ii)=28.819390, noise_pow(ii)=0.010507
sig_pow(ii)=9.744821, noise_pow(ii)=0.018499
sig_pow(ii)=54.116403, noise_pow(ii)=0.048410
sig_pow(ii)=203.894291, noise_pow(ii)=0.029132
sig_pow(ii)=50.690110, noise_pow(ii)=0.005565
sig_pow(ii)=114.782874, noise_pow(ii)=0.046065
sig_pow(ii)=78.894671, noise_pow(ii)=0.057904
sig_pow(ii)=44.270095, noise_pow(ii)=0.047285
sig_pow(ii)=82.913772, noise_pow(ii)=0.028725
sig_pow(ii)=72.787705, noise_pow(ii)=0.035441
sig_pow(ii)=19.069097, noise_pow(ii)=0.013204
sig_pow(ii)=8.844846, noise_pow(ii)=0.013477
sig_pow(ii)=11.171878, noise_pow(ii)=0.004960
sig_pow(ii)=24.486328, noise_pow(ii)=0.036171
sig_pow(ii)=242.312945, noise_pow(ii)=0.069178
sig_pow(ii)=119.797894, noise_pow(ii)=0.020092
sig_pow(ii)=45.022080, noise_pow(ii)=0.032892
sig_pow(ii)=16.868470, noise_pow(ii)=0.051118
sig_pow(ii)=14.876554, noise_pow(ii)=0.051554
sig_pow(ii)=227.255854, noise_pow(ii)=0.007226
sig_pow(ii)=39.163930, noise_pow(ii)=0.013487
sig_pow(ii)=239.533223, noise_pow(ii)=0.000843
sig_pow(ii)=15.584571, noise_pow(ii)=0.113105
sig_pow(ii)=281.594172, noise_pow(ii)=0.012999
sig_pow(ii)=176.685579, noise_pow(ii)=0.085751
sig_pow(ii)=112.424091, noise_pow(ii)=0.019850
sig_pow(ii)=8.760038, noise_pow(ii)=0.030264
sig_pow(ii)=33.650702, noise_pow(ii)=0.002459
sig_pow(ii)=59.090324, noise_pow(ii)=0.006384
sig_pow(ii)=254.761314, noise_pow(ii)=0.022842
sig_pow(ii)=28.791693, noise_pow(ii)=0.058460
sig_pow(ii)=1.336177, noise_pow(ii)=0.012418
sig_pow(ii)=61.492586, noise_pow(ii)=0.010992
sig_pow(ii)=5.527485, noise_pow(ii)=0.021832
sig_pow(ii)=83.637439, noise_pow(ii)=0.024246
sig_pow(ii)=47.455738, noise_pow(ii)=0.009184
sig_pow(ii)=62.507475, noise_pow(ii)=0.080245
sig_pow(ii)=318.805174, noise_pow(ii)=0.018805
sig_pow(ii)=2.603581, noise_pow(ii)=0.019898
sig_pow(ii)=62.207991, noise_pow(ii)=0.004949
sig_pow(ii)=12.194137, noise_pow(ii)=0.015783
