sig_pow(ii)=87.073301, noise_pow(ii)=0.043208
sig_pow(ii)=251.745516, noise_pow(ii)=0.033118
sig_pow(ii)=97.146027, noise_pow(ii)=0.026742
sig_pow(ii)=42.372503, noise_pow(ii)=0.073017
sig_pow(ii)=108.820354, noise_pow(ii)=0.050389
sig_pow(ii)=58.575433, noise_pow(ii)=0.007059
sig_pow(ii)=128.390103, noise_pow(ii)=0.009087
sig_pow(ii)=3.082316, noise_pow(ii)=0.000060
sig_pow(ii)=31.298079, noise_pow(ii)=0.002876
sig_pow(ii)=119.415026, noise_pow(ii)=0.016172
sig_pow(ii)=21.745655, noise_pow(ii)=0.000453
sig_pow(ii)=35.826118, noise_pow(ii)=0.055274
sig_pow(ii)=80.007901, noise_pow(ii)=0.019596
sig_pow(ii)=147.527076, noise_pow(ii)=0.052493
sig_pow(ii)=12.563847, noise_pow(ii)=0.009227
sig_pow(ii)=13.358340, noise_pow(ii)=0.012912
sig_pow(ii)=2.744745, noise_pow(ii)=0.004065
sig_pow(ii)=25.517944, noise_pow(ii)=0.127699
sig_pow(ii)=74.055152, noise_pow(ii)=0.069153
sig_pow(ii)=100.985376, noise_pow(ii)=0.001035
sig_pow(ii)=73.799055, noise_pow(ii)=0.021305
sig_pow(ii)=106.180536, noise_pow(ii)=0.013562
sig_pow(ii)=60.611723, noise_pow(ii)=0.085480
sig_pow(ii)=259.174644, noise_pow(ii)=0.023950
sig_pow(ii)=349.825854, noise_pow(ii)=0.024150
sig_pow(ii)=17.071459, noise_pow(ii)=0.021548
sig_pow(ii)=195.467079, noise_pow(ii)=0.036313
sig_pow(ii)=92.959874, noise_pow(ii)=0.026383
sig_pow(ii)=1.259731, noise_pow(ii)=0.012234
sig_pow(ii)=48.731443, noise_pow(ii)=0.019072
sig_pow(ii)=62.407248, noise_pow(ii)=0.028814
sig_pow(ii)=78.073076, noise_pow(ii)=0.014280
sig_pow(ii)=16.551155, noise_pow(ii)=0.015569
sig_pow(ii)=30.588350, noise_pow(ii)=0.029820
sig_pow(ii)=17.969331, noise_pow(ii)=0.008845
sig_pow(ii)=79.721323, noise_pow(ii)=0.038817
sig_pow(ii)=43.385753, noise_pow(ii)=0.028636
sig_pow(ii)=15.795790, noise_pow(ii)=0.017310
sig_pow(ii)=19.297861, noise_pow(ii)=0.026417
sig_pow(ii)=83.353329, noise_pow(ii)=0.016766
sig_pow(ii)=26.091772, noise_pow(ii)=0.022412
sig_pow(ii)=114.380833, noise_pow(ii)=0.003463
sig_pow(ii)=112.135284, noise_pow(ii)=0.012202
sig_pow(ii)=57.241089, noise_pow(ii)=0.729712
sig_pow(ii)=139.094691, noise_pow(ii)=0.005472
sig_pow(ii)=25.757690, noise_pow(ii)=0.015838
sig_pow(ii)=88.901264, noise_pow(ii)=0.030152
sig_pow(ii)=116.676659, noise_pow(ii)=0.043564
sig_pow(ii)=43.489927, noise_pow(ii)=0.003853
sig_pow(ii)=49.602087, noise_pow(ii)=0.023926
sig_pow(ii)=44.666660, noise_pow(ii)=0.019341
sig_pow(ii)=61.766265, noise_pow(ii)=0.038567
sig_pow(ii)=80.155558, noise_pow(ii)=0.083040
sig_pow(ii)=10.301371, noise_pow(ii)=0.072497
sig_pow(ii)=23.590538, noise_pow(ii)=0.005137
sig_pow(ii)=135.137318, noise_pow(ii)=0.111353
sig_pow(ii)=47.912763, noise_pow(ii)=0.052169
sig_pow(ii)=26.655477, noise_pow(ii)=0.063364
sig_pow(ii)=0.161220, noise_pow(ii)=0.000315
sig_pow(ii)=299.997311, noise_pow(ii)=0.005524
sig_pow(ii)=75.031110, noise_pow(ii)=0.033783
sig_pow(ii)=27.952633, noise_pow(ii)=0.019419
sig_pow(ii)=8.778865, noise_pow(ii)=0.016131
sig_pow(ii)=57.076214, noise_pow(ii)=0.001637
sig_pow(ii)=14.933630, noise_pow(ii)=0.007275
sig_pow(ii)=158.289919, noise_pow(ii)=0.013206
sig_pow(ii)=184.274379, noise_pow(ii)=0.004044
sig_pow(ii)=112.051396, noise_pow(ii)=0.011113
sig_pow(ii)=11.557114, noise_pow(ii)=0.020900
sig_pow(ii)=161.646911, noise_pow(ii)=0.052563
sig_pow(ii)=124.749085, noise_pow(ii)=0.021134
sig_pow(ii)=61.273044, noise_pow(ii)=0.003737
sig_pow(ii)=238.911827, noise_pow(ii)=0.038382
sig_pow(ii)=22.799151, noise_pow(ii)=0.061153
sig_pow(ii)=61.414223, noise_pow(ii)=0.014240
sig_pow(ii)=32.107259, noise_pow(ii)=0.002485
sig_pow(ii)=366.148766, noise_pow(ii)=0.009916
sig_pow(ii)=50.523159, noise_pow(ii)=0.084281
sig_pow(ii)=35.298954, noise_pow(ii)=0.014204
sig_pow(ii)=83.427588, noise_pow(ii)=0.010715
sig_pow(ii)=107.674837, noise_pow(ii)=0.014637
sig_pow(ii)=16.921019, noise_pow(ii)=0.029828
sig_pow(ii)=58.998736, noise_pow(ii)=0.021024
sig_pow(ii)=227.822698, noise_pow(ii)=0.000459
sig_pow(ii)=25.832005, noise_pow(ii)=0.044986
sig_pow(ii)=127.507936, noise_pow(ii)=0.007009
sig_pow(ii)=86.542850, noise_pow(ii)=0.010570
sig_pow(ii)=136.507658, noise_pow(ii)=0.038501
sig_pow(ii)=30.124072, noise_pow(ii)=0.004469
sig_pow(ii)=12.460067, noise_pow(ii)=0.025840
sig_pow(ii)=30.915846, noise_pow(ii)=0.008516
sig_pow(ii)=410.148146, noise_pow(ii)=0.019819
sig_pow(ii)=11.796496, noise_pow(ii)=0.044464
sig_pow(ii)=38.702647, noise_pow(ii)=0.064967
sig_pow(ii)=11.002022, noise_pow(ii)=0.000531
sig_pow(ii)=69.009994, noise_pow(ii)=0.057664
sig_pow(ii)=6.346197, noise_pow(ii)=0.027816
sig_pow(ii)=7.344840, noise_pow(ii)=0.017218
sig_pow(ii)=72.896340, noise_pow(ii)=0.037628
sig_pow(ii)=0.499646, noise_pow(ii)=0.020518
